INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.669521
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:Starting generation: 23
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:Starting generation: 24
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:Starting generation: 25
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:Starting generation: 26
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 27
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 28
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.671002
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667490
INFO:root:Starting generation: 29
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 30
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 4.007214
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.679810
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.825700
INFO:root:partial fitness = 3.825700
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 31
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.679810
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 32
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:Starting generation: 33
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.667886
